,00097399,Cosmético,13/08/2018,-,verdadero,variable,value
296,30076,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
297,30079,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
298,30080,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
299,30081,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
300,30087,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
301,30088,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
302,30094,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
303,30095,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
304,30121,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
305,30127,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
306,30137,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
307,30144,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
308,30149,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
309,30150,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
310,30155,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
311,30157,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
312,30160,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
313,30161,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
314,30162,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
315,30164,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
316,30165,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
317,30166,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
318,30167,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
319,30170,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
320,30172,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
321,30175,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
322,30177,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
323,30178,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
324,30179,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
325,30181,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
326,30182,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
327,30226,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
328,30227,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
329,30187,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
330,30189,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
